,ID,Class,mf0,mf1,mf2,mf3,mf4,mf5,mf6,mf7,mf8,mf9,mf10,mf11,mf12
0,1-7057-A-12,crackingfire,-410.90845,53.12116,43.685886,39.566463,0.3744763,17.098375,5.899737,17.62616,8.827858,14.693707,3.604163,6.901472,9.241342
1,2-65747-A-12,crackingfire,-236.59727,45.386887,9.972418,23.725887,15.398039,17.313583,2.214627,0.6211163,-8.715458,8.719705,5.078637,1.4302515,-5.5163045
2,3-120644-A-12,crackingfire,-389.10822,53.906757,44.41739,38.67295,26.993368,25.616184,17.208616,20.623026,13.676393,16.824404,7.149352,10.338269,2.475958
3,3-147965-A-12,crackingfire,-248.70453,35.895077,20.418612,30.599966,5.006649,22.831482,8.253297,20.540064,7.1459675,11.848261,2.3397448,0.35370147,-14.717521
4,3-158476-A-12,crackingfire,-442.91907,63.351444,39.13489,32.865616,20.968693,29.92039,13.506634,21.868876,11.37298,14.397937,4.027976,8.367541,1.3914167
5,2-30322-B-12,crackingfire,-257.2432,71.071976,27.253836,25.371101,12.787109,15.681085,3.3693616,11.302448,6.0761724,6.535744,2.5255811,5.983115,-4.467191
6,1-17742-A-12,crackingfire,-342.4308,22.252504,21.104801,19.68479,2.9241235,10.545048,0.49819964,4.410358,-4.5578227,2.5672967,-2.988963,3.4036653,-2.2989542
7,5-189237-A-12,crackingfire,-554.3896,90.99763,23.208628,11.608033,-16.645187,1.5114427,-15.857697,-6.2170634,-8.847798,-4.7775545,-12.084816,-5.830057,-11.38511
8,4-181563-A-12,crackingfire,-218.90025,87.627,45.978836,21.610256,19.385092,2.5390172,9.319527,0.40904847,0.90693057,8.426466,-1.7567581,11.888004,-6.0513434
9,3-65748-A-12,crackingfire,-270.93655,55.337204,8.204255,27.45822,14.947335,16.801811,-0.8251013,2.6460874,3.490079,7.060752,-7.861279,6.5383964,2.5081244
10,2-30322-A-12,crackingfire,-284.79028,70.34107,35.270313,23.901194,12.172555,18.018696,5.581432,13.177438,8.305909,8.120218,5.449246,7.1290045,-3.0060992
11,2-28314-A-12,crackingfire,-317.53183,73.52469,30.473326,20.979748,9.79861,15.930077,3.9737446,12.260644,7.7007627,7.753919,5.5625815,7.42522,-2.4095745
12,5-189212-A-12,crackingfire,-326.79575,90.63317,71.91269,24.112951,28.7644,22.240906,21.642937,15.521806,7.267527,6.799096,3.6123767,7.223948,-1.2863683
13,1-17565-A-12,crackingfire,-233.35812,49.495388,-6.8564644,25.677053,7.2526813,7.023119,-3.7125015,15.745234,-1.0147517,12.143164,4.515441,13.197061,3.2972739
14,3-104958-A-12,crackingfire,-498.2754,32.14934,30.38907,8.838497,11.674569,7.382832,2.1441457,3.6860259,-1.1028677,7.989442,-4.8753304,3.678009,-3.7803392
15,4-164661-A-12,crackingfire,-198.21504,80.87155,82.6619,16.589914,10.074854,27.177784,13.664063,18.667831,8.102949,13.16877,4.0063677,5.117779,-0.84917957
16,1-17808-A-12,crackingfire,-296.61642,75.34866,13.022615,33.487637,17.686089,20.499361,10.811147,18.0733,17.233458,12.503982,3.8899915,12.182504,9.911517
17,1-17150-A-12,crackingfire,-286.71582,62.699898,18.56666,29.3062,27.80526,8.130116,-1.1188762,25.288729,-7.871512,4.550047,-3.1644762,6.492745,-5.779511
18,4-171207-A-12,crackingfire,-288.20065,121.7209,65.51418,29.498856,15.833955,32.025055,16.531115,16.051886,13.074967,15.98136,23.184595,13.012354,0.16956794
19,1-46272-A-12,crackingfire,-171.84172,29.810661,46.02353,55.60053,27.686642,18.9019,8.56974,13.204383,6.4183435,10.576669,0.09452921,4.0503182,0.6620891
20,2-61311-A-12,crackingfire,-363.48022,91.16158,26.504341,48.936943,16.511799,4.4020057,7.7316785,13.726159,3.9054945,11.305389,6.5242677,7.7321277,-3.294821
